geo_code,URB_CEDUC_TE1026V,URB_CLMA_EC1010V,URB_CLMA_EC1177V,URB_CPOP1_DE1001V,URB_CPOPCB_DE2009V,URB_CTRAN_TT1057I
ES023C,11730.833333333334,17152.0,100825.33333333333,270148.3333333333,26947.333333333332,435.7383333333333
ES024C,30734.333333333332,41304.333333333336,145001.16666666666,365813.8333333333,55695.0,518.2533333333333
ES025C,23887.5,14071.166666666666,99104.66666666667,245947.16666666666,32939.5,434.62999999999994
ES026C,4515.833333333333,7807.5,41497.0,105896.33333333333,19977.5,467.7366666666667
ES027C,789.8333333333334,12453.5,41098.833333333336,102723.83333333333,6393.666666666667,479.9166666666667
ES028C,6612.666666666667,4876.0,41852.5,97972.16666666667,10235.0,506.075
ES029C,956.1666666666666,10180.166666666666,33176.333333333336,94702.16666666667,2552.3333333333335,431.1066666666666
ES030C,15249.833333333334,6284.5,44369.166666666664,102353.83333333333,25410.0,434.825
ES031C,11714.0,8279.0,37330.666666666664,95919.66666666667,4703.833333333333,524.2366666666667
ES032C,223.16666666666666,7604.833333333333,31360.833333333332,84453.5,39045.166666666664,573.1083333333333
ES033C,1013.8333333333334,9127.166666666666,31598.5,89027.33333333333,5270.833333333333,465.93
ES034C,1781.0,4916.833333333333,28909.5,77180.33333333333,5190.333333333333,505.4866666666667
ES035C,4591.0,9560.666666666666,29284.0,83485.83333333333,9659.166666666666,445.52833333333336
ES036C,5173.0,4131.833333333333,30581.0,77473.83333333333,5399.0,469.62999999999994
ES037C,3850.8333333333335,4326.0,24012.0,65228.666666666664,4121.0,554.7566666666667
ES038C,8966.166666666666,5149.166666666667,33081.0,82937.5,7825.333333333333,491.3383333333333
ES039C,2495.0,10545.333333333334,29212.833333333332,83968.16666666667,10773.333333333334,475.6466666666667
ES040C,2121.3333333333335,6391.5,30210.5,75664.33333333333,18909.333333333332,460.3616666666667
ES041C,6483.333333333333,5414.333333333333,37260.166666666664,86944.5,15901.666666666666,473.83166666666665
ES042C,4132.166666666667,5617.5,30865.333333333332,77737.16666666667,17419.166666666668,444.02833333333336
ES043C,8911.333333333334,5719.666666666667,29345.666666666668,75033.5,5792.333333333333,436.2416666666666
ES044C,659.6666666666666,5268.833333333333,28518.5,69628.16666666667,23512.833333333332,430.3833333333334
ES045C,2725.1666666666665,9260.5,28899.666666666668,86145.16666666667,19871.333333333332,534.4533333333334
ES046C,2558.3333333333335,4250.0,24744.166666666668,64027.0,6339.0,505.8283333333334
ES047C,3707.6666666666665,4241.0,22870.833333333332,60559.166666666664,3760.3333333333335,475.73499999999996
ES048C,295.6666666666667,7055.666666666667,30090.0,81581.5,33999.666666666664,398.7033333333334
ES049C,287.1666666666667,8089.833333333333,24320.666666666668,69163.16666666667,1847.5,429.10833333333335
ES050C,1997.5,4326.166666666667,28031.0,67578.5,10566.0,423.77833333333336
ES051C,937.5,8643.0,21038.333333333332,63515.333333333336,6978.666666666667,454.6133333333333
ES052C,159.33333333333334,7138.5,26445.666666666668,68884.83333333333,19160.166666666668,485.625
ES053C,1076.6666666666667,2832.0,25984.5,62619.166666666664,9184.0,445.845
ES054C,1105.3333333333333,3841.8333333333335,26541.166666666668,62013.833333333336,13460.0,438.0783333333333
ES055C,1514.6666666666667,6635.333333333333,27324.166666666668,63661.0,19719.5,468.48
